file_size,entropy,suspicious_extension,yara_match_count,threat_intelligence_score,label
4441025,5.963,0,1,0.174,0
1260379,2.939,1,3,0.689,1
7884823,3.748,0,2,0.707,1
7618381,2.427,0,2,0.788,1
9896027,5.967,0,3,0.115,0
3772676,5.886,1,1,0.071,1
2784722,6.756,1,3,0.124,1
5102803,6.198,1,4,0.54,1
7345375,2.483,0,3,0.735,1
4201476,2.155,0,4,0.587,0
349050,7.997,1,4,0.04,1
2940212,4.823,1,2,0.181,1
9821201,4.615,1,0,0.47,0
6851944,4.0,0,1,0.33,0
8313590,3.729,1,4,0.037,1
1478398,3.887,1,0,0.97,1
6781932,7.189,0,4,0.462,1
910393,3.125,1,4,0.756,1
7417216,6.56,0,2,0.549,0
4833327,4.629,1,0,0.029,0
4015745,6.259,1,4,0.014,1
6845947,2.559,0,3,0.947,1
2584206,4.99,1,4,0.705,1
6971771,7.008,1,1,0.457,1
2427689,4.302,0,0,0.276,0
6962578,4.039,1,0,0.283,0
5009935,7.025,1,1,0.447,1
8126900,4.071,1,3,0.933,1
3166061,7.885,0,4,0.383,1
6892662,2.262,1,3,0.386,1
2552903,4.972,0,1,0.502,0
9902584,3.992,0,3,0.1,0
7666981,2.092,0,3,0.871,1
2590751,2.449,1,2,0.623,1
6669663,5.899,1,4,0.38,1
5313692,5.761,1,4,0.036,1
1148909,3.409,1,1,0.747,1
7281833,7.87,0,3,0.166,1
5025207,7.421,0,2,0.796,1
4922894,4.151,1,1,0.244,1
6914081,5.396,0,1,0.175,0
6419028,5.718,0,3,0.913,1
2402116,3.393,1,3,0.255,1
158662,7.393,1,2,0.678,1
2651391,2.443,1,4,0.299,1
7119722,6.142,1,2,0.199,1
6455081,7.12,0,1,0.381,1
6023335,5.449,1,0,0.978,1
6641518,3.647,0,4,0.745,1
4802541,6.654,0,4,0.802,1
3675286,5.82,1,1,0.628,1
662401,3.854,1,0,0.58,0
2205724,2.541,1,2,0.747,1
2947751,3.205,1,4,0.502,1
4573250,6.983,1,3,0.967,1
4952651,6.479,1,0,0.468,0
1264313,2.845,0,3,0.967,1
9351154,4.195,1,0,0.264,0
2074474,4.729,1,4,0.381,1
6233293,2.65,0,3,0.025,0
9419852,3.968,0,0,0.635,0
7790116,7.456,1,3,0.117,1
761793,7.678,1,3,0.116,1
3940290,7.324,0,3,0.454,1
9063926,4.515,0,3,0.655,0
8210880,5.694,1,0,0.69,0
3646180,4.66,0,2,0.099,0
6163857,5.267,1,0,0.398,0
3185459,7.809,1,0,0.663,1
359318,2.303,1,1,0.989,1
9473046,3.231,0,4,0.216,0
3910069,3.971,0,4,0.003,0
2428461,7.925,1,1,0.11,1
433519,2.791,1,1,0.589,1
265762,3.045,0,1,0.742,1
8827250,2.682,0,3,0.448,0
6075006,5.079,0,3,0.504,0
728544,6.363,1,3,0.643,1
523621,2.365,1,3,0.426,1
1812298,4.942,1,0,0.899,1
5405139,5.65,0,1,0.275,0
9821789,5.29,1,3,0.995,1
8902266,3.769,1,0,0.793,1
1920549,7.117,0,3,0.452,1
3834486,4.483,1,3,0.416,1
1596275,3.875,1,2,0.374,1
2561856,6.121,1,0,0.091,0
1433176,2.559,0,2,0.812,1
9335352,2.36,1,0,0.411,0
7096702,7.209,0,2,0.6,1
5900644,2.622,0,1,0.657,0
3763204,7.084,1,4,0.368,1
4674599,5.445,1,4,0.975,1
9341543,2.158,1,0,0.18,0
5184902,7.529,1,0,0.181,1
2404361,5.398,1,0,0.142,0
515340,2.551,0,3,0.42,0
5720285,2.944,1,2,0.777,1
9523639,5.577,0,1,0.157,0
835876,6.044,1,3,0.662,1
8149051,5.642,1,2,0.216,1
8596744,2.683,1,0,0.283,0
9952141,4.92,1,0,0.221,0
920088,2.046,1,1,0.767,1
4287905,3.737,0,0,0.497,0
7226192,3.054,1,4,0.704,1
8394009,5.352,1,0,0.397,0
710714,4.617,1,0,0.862,1
9660635,4.576,1,3,0.29,1
6796314,2.125,1,1,0.801,1
7720145,6.992,1,0,0.437,0
1777088,3.46,1,4,0.079,1
5206543,6.475,0,2,0.779,1
1282433,5.063,0,4,0.51,0
5862544,4.107,0,1,0.103,0
4295434,3.184,0,0,0.177,0
8290908,4.784,1,4,0.643,1
5423534,7.185,1,1,0.44,1
7868190,4.653,1,2,0.591,1
5905610,5.044,1,3,0.452,1
955456,4.212,1,0,0.645,0
1515923,5.69,1,3,0.58,1
689246,4.698,0,2,0.605,0
8412547,2.905,0,3,0.104,0
5762929,7.894,0,4,0.646,1
657695,3.486,1,3,0.524,1
2664319,4.183,1,3,0.409,1
5677858,6.073,0,2,0.066,0
1586546,5.348,1,2,0.252,1
2523845,4.0,0,2,0.31,0
6576963,2.774,0,2,0.559,0
5511922,6.879,0,3,0.508,0
306857,4.176,0,1,0.342,0
8159272,3.152,0,1,0.077,0
1697860,5.046,0,2,0.876,1
2199638,5.583,0,1,0.181,0
2778286,6.327,0,3,0.364,0
3986095,7.818,1,3,0.234,1
4013581,3.857,1,1,0.368,1
9571049,7.907,1,2,0.778,1
8438374,5.165,0,1,0.801,1
2322942,7.238,0,3,0.874,1
9304649,7.606,0,2,0.084,1
2690594,3.637,0,3,0.092,0
3726179,6.9,1,0,0.415,0
6652393,5.012,0,3,0.995,1
6290990,3.347,1,0,0.839,1
5626238,6.748,0,0,0.287,0
7927478,6.176,0,3,0.449,0
89100,7.435,0,2,0.216,1
2509522,5.293,1,0,0.776,1
3987941,3.807,0,1,0.42,0
7670093,2.377,1,4,0.536,1
8647569,5.45,0,2,0.429,0
5920270,3.443,1,1,0.664,1
1437363,5.141,1,0,0.953,1
9129180,5.044,0,3,0.873,1
731386,5.814,1,2,0.747,1
5992041,6.731,1,1,0.733,1
1740191,6.629,1,1,0.044,1
9161590,4.031,0,3,0.981,1
8029420,5.79,0,0,0.716,0
7679589,2.222,0,0,0.791,0
704065,3.894,1,4,0.398,1
9111543,4.84,0,1,0.286,0
803018,7.195,1,2,0.124,1
6175337,4.622,1,3,0.895,1
6487822,4.034,0,3,0.692,0
6164058,7.546,1,0,0.727,1
1325175,4.584,0,4,0.294,0
1722307,2.48,1,2,0.446,1
7150041,3.0,1,2,0.447,1
5915963,5.689,1,2,0.639,1
963308,2.45,1,2,0.513,1
2685131,7.717,0,4,0.678,1
7352320,2.209,0,1,0.779,1
6146971,4.173,0,4,0.153,0
7549448,7.693,1,3,0.763,1
9629809,2.826,1,3,0.314,1
4676638,3.498,0,0,0.736,0
8373568,5.106,0,2,0.775,1
7488220,3.287,1,3,0.2,1
2278144,7.117,1,1,0.899,1
7468726,7.984,1,2,0.71,1
9228420,5.253,1,1,0.712,1
2921762,6.762,0,0,0.985,0
2330967,3.42,1,0,0.361,0
9602221,4.213,0,4,0.884,1
1104070,3.856,1,4,0.411,1
6870154,6.94,0,1,0.972,1
1245282,4.7,1,1,0.878,1
9250336,5.839,0,1,0.433,0
930673,6.988,0,2,0.165,0
5414349,7.608,0,2,0.947,1
8706660,7.37,0,2,0.196,1
9242585,3.647,1,4,0.533,1
8432778,5.846,0,1,0.659,0
5665316,7.055,0,0,0.081,0
9677615,3.588,0,4,0.417,0
509113,4.988,1,2,0.483,1
6814102,3.785,0,0,0.158,0
6973975,4.906,0,2,0.607,0
5245264,7.169,1,2,0.975,1
2194891,6.564,0,2,0.242,0
2056576,3.605,0,1,0.097,0
4869949,7.672,1,1,0.963,1
2680315,6.881,1,1,0.763,1
8360508,7.976,1,3,0.879,1
8345488,2.139,1,4,0.457,1
4039756,3.291,1,0,0.051,0
8303946,5.585,1,2,0.537,1
1804501,4.586,1,2,0.764,1
6140410,2.271,0,4,0.562,0
6083139,5.319,0,3,0.504,0
9226071,3.678,0,1,0.975,1
6609607,4.239,1,4,0.939,1
2421404,3.194,1,4,0.04,1
653868,2.822,1,3,0.519,1
2499809,5.638,0,2,0.931,1
5345047,2.975,1,4,0.336,1
8552583,5.194,1,3,0.816,1
6181018,3.987,0,3,0.584,0
448065,5.581,1,4,0.578,1
862596,5.501,0,4,0.629,0
6379535,2.887,0,0,0.573,0
1844740,3.145,1,2,0.419,1
6929320,6.143,1,4,0.775,1
7913226,7.237,0,1,0.519,1
9411118,3.95,1,4,0.377,1
2906518,4.758,1,4,0.354,1
4436261,5.66,0,1,0.279,0
5008984,3.349,1,2,0.705,1
8205110,3.902,1,4,0.934,1
4588856,3.727,1,3,0.818,1
2458461,3.743,1,0,0.346,0
7422839,5.936,1,1,0.202,1
9036838,3.627,1,1,0.109,1
9846382,3.436,0,4,0.226,0
3907349,2.315,1,2,0.717,1
1687863,6.087,0,0,0.965,0
2650811,4.441,1,3,0.651,1
4820172,3.927,0,0,0.652,0
3897008,5.211,0,1,0.418,0
2950245,7.604,0,3,0.788,1
3126790,7.62,1,0,0.009,1
9529818,5.617,1,2,0.454,1
9116069,5.146,0,4,0.468,0
3235838,6.853,1,1,0.731,1
4317188,6.312,0,2,0.791,1
9526788,6.046,0,1,0.611,0
6803999,6.962,1,0,0.401,0
1601296,3.109,0,3,0.324,0
4162539,2.041,1,1,0.447,1
4480421,7.724,1,4,0.723,1
192859,3.569,1,1,0.062,1
1984483,4.792,0,3,0.686,0
5218344,6.142,1,2,0.615,1
3677367,7.744,1,1,0.455,1
6269384,4.495,1,4,0.802,1
3665338,6.571,0,4,0.447,0
6070742,2.469,0,0,0.829,0
8481665,3.213,0,1,0.328,0
8730882,4.651,0,4,0.489,0
8563677,4.673,0,3,0.132,0
6970667,4.741,0,4,0.462,0
5171227,6.34,1,2,0.816,1
3656777,5.47,0,3,0.345,0
1070713,5.247,0,0,0.986,0
7921040,2.19,1,1,0.769,1
7053503,4.247,1,3,0.87,1
6334337,4.254,0,2,0.119,0
9014701,4.358,0,1,0.835,1
382435,7.871,1,4,0.424,1
6364203,6.94,0,3,0.346,0
4625635,3.131,0,0,0.809,0
7034690,5.69,0,1,0.206,0
1693765,5.564,1,4,0.672,1
817653,3.468,0,3,0.439,0
9056666,3.304,0,1,0.504,0
4854035,3.405,1,4,0.598,1
5380867,3.421,0,4,0.221,0
5042569,3.651,0,3,0.556,0
787584,7.834,1,4,0.319,1
6985768,4.45,1,3,0.184,1
9025938,4.841,0,2,0.858,1
2422820,6.835,0,4,0.413,0
6988842,5.344,0,3,0.243,0
3412424,3.982,0,3,0.847,1
1552288,5.214,0,0,0.268,0
664497,7.242,0,4,0.724,1
9376955,3.302,0,2,0.303,0
258256,3.271,0,0,0.747,0
8035958,7.487,0,3,0.915,1
9263353,3.93,1,3,0.466,1
6028375,3.851,1,4,0.883,1
7819250,2.592,1,2,0.914,1
6220396,3.878,0,4,0.864,1
2449176,2.097,1,2,0.152,1
5535221,3.38,0,3,0.551,0
5664388,3.544,1,3,0.461,1
5909535,3.016,1,1,0.917,1
9096547,7.942,0,4,0.034,1
1248057,7.671,0,0,0.412,0
3883808,2.408,0,0,0.219,0
7651572,4.239,1,3,0.016,1
8930043,5.31,0,0,0.529,0
4610384,5.214,1,0,0.502,0
7224819,6.837,0,0,0.918,0
8798727,2.893,0,4,0.526,0
5947534,3.604,1,0,0.373,0
6813009,4.754,0,1,0.3,0
1353527,5.922,0,0,0.405,0
6328855,5.316,0,0,0.703,0
1388242,4.999,1,2,0.566,1
1600906,7.369,0,1,0.211,1
9510060,4.853,0,0,0.684,0
4704878,7.396,0,1,0.929,1
5277177,2.094,0,4,0.144,0
6683298,7.573,1,1,0.564,1
9508579,7.008,1,4,0.332,1
2348981,6.743,0,4,0.745,1
5803559,2.322,1,1,0.839,1
5715198,5.631,1,2,0.03,1
4586666,6.701,1,3,0.228,1
9279433,7.647,1,1,0.68,1
6377562,2.514,1,1,0.713,1
1377369,3.608,1,1,0.74,1
5313979,4.164,0,0,0.943,0
7462429,4.16,1,0,0.133,0
3144912,4.586,1,0,0.026,0
5938696,5.325,1,3,0.012,1
6943580,4.327,0,4,0.905,1
4073543,5.432,0,3,0.17,0
4512711,3.807,1,1,0.063,1
7293657,3.656,1,3,0.783,1
6059670,3.51,0,3,0.594,0
3281754,4.747,0,2,0.007,0
6639609,3.993,1,2,0.44,1
7225541,6.893,0,2,0.321,0
3370728,4.874,0,3,0.969,1
4890688,6.409,1,4,0.782,1
5468463,4.256,1,2,0.114,1
9460841,3.199,0,4,0.027,0
7745735,7.658,0,3,0.798,1
1161289,6.914,1,3,0.139,1
5081688,3.452,0,3,0.789,1
1241929,4.694,1,4,0.401,1
8500549,7.541,1,4,0.037,1
6032903,6.21,0,0,0.769,0
5957059,2.998,0,4,0.984,1
6705473,7.801,1,3,0.106,1
1655343,3.552,0,3,0.374,0
7769911,6.634,0,2,0.998,1
8100554,2.627,1,0,0.116,0
2377915,4.09,1,3,0.784,1
8743856,4.898,1,0,0.438,0
7591804,3.913,1,0,0.81,1
1931810,2.136,1,0,0.677,0
2758404,7.58,0,4,0.174,1
2687631,3.986,1,3,0.232,1
6796568,5.779,0,3,0.396,0
3311554,4.697,1,3,0.004,1
3604680,3.235,0,4,0.102,0
9008502,3.122,1,1,0.458,1
4402559,6.024,1,4,0.966,1
5259048,5.582,1,4,0.114,1
5906327,7.073,0,2,0.919,1
9902382,2.509,0,2,0.118,0
5124426,2.702,1,1,0.511,1
7017887,5.579,1,3,0.186,1
9016728,6.161,0,4,0.167,0
4846843,2.842,1,3,0.619,1
6024677,7.711,1,1,0.195,1
6442514,7.783,1,3,0.685,1
6974121,6.261,1,3,0.167,1
9486801,2.185,0,2,0.033,0
3773246,5.226,0,3,0.566,0
8310978,5.298,0,4,0.114,0
9112809,6.94,1,4,0.823,1
699108,6.56,1,4,0.219,1
7133912,2.614,0,2,0.875,1
541736,4.698,1,0,0.439,0
1970410,6.654,0,1,0.811,1
9864726,6.135,1,1,0.616,1
3467502,6.881,0,4,0.351,0
4716824,5.581,0,2,0.979,1
4910595,3.736,1,4,0.985,1
1598613,2.814,1,0,0.992,1
2129830,6.209,0,1,0.146,0
5404886,6.971,1,3,0.142,1
4509325,5.767,1,3,0.076,1
1562871,4.417,1,2,0.455,1
8189027,3.964,0,0,0.731,0
7692502,5.809,1,0,0.796,1
6673565,3.307,1,1,0.495,1
5417778,6.97,1,4,0.578,1
9499288,7.115,1,0,0.046,1
7711502,2.098,0,3,0.457,0
7178281,3.214,0,2,0.159,0
4598283,2.56,1,2,0.082,1
2778050,2.311,1,1,0.429,1
1531068,6.222,0,1,0.477,0
2227333,5.562,1,0,0.008,0
5765217,6.903,1,1,0.478,1
3842091,4.298,0,0,0.313,0
5021671,2.823,0,1,0.068,0
9451458,2.051,0,3,0.351,0
3575477,5.768,0,3,0.616,0
7422969,7.16,0,0,0.14,0
2067235,5.537,1,2,0.963,1
5277495,6.746,0,2,0.645,0
4164551,5.32,1,0,0.848,1
5061836,3.233,0,3,0.296,0
916518,6.703,0,3,0.386,0
4045680,4.997,0,4,0.889,1
203450,7.921,1,1,0.387,1
9536840,4.525,0,3,0.954,1
1225599,2.1,0,0,0.262,0
669183,7.535,1,4,0.286,1
8407206,6.603,1,3,0.082,1
9003063,5.226,0,2,0.084,0
1326761,5.068,0,1,0.536,0
6556386,5.519,0,2,0.699,0
4004671,2.347,0,3,0.116,0
924227,3.856,0,0,0.013,0
2303031,6.209,0,3,0.953,1
8775573,5.103,1,1,0.372,1
4510119,6.398,0,0,0.335,0
7203871,3.632,0,2,0.712,1
9675609,5.765,1,3,0.511,1
931113,4.998,0,2,0.157,0
1727457,7.366,0,1,0.741,1
44092,2.264,0,1,0.046,0
6107512,4.298,0,1,0.931,1
594302,5.317,1,1,0.322,1
6984626,7.495,1,2,0.826,1
9589782,4.237,0,1,0.223,0
8654253,7.888,1,0,0.877,1
4737323,6.641,1,2,0.086,1
7663929,2.048,0,2,0.564,0
5099752,6.437,0,3,0.368,0
8278218,7.987,0,4,0.76,1
4113546,2.903,1,0,0.233,0
5813025,5.816,0,2,0.001,0
6313844,7.094,1,0,0.205,1
3996789,4.519,0,1,0.712,1
1561728,2.263,0,4,0.413,0
6250378,4.751,0,4,0.096,0
2240990,5.823,1,0,0.592,0
1045933,4.61,0,1,0.292,0
5285972,7.556,1,2,0.318,1
4563662,3.402,0,1,0.78,1
9810773,2.654,0,1,0.45,0
5269604,4.439,1,1,0.452,1
7774665,3.59,0,0,0.158,0
5104880,6.958,0,1,0.836,1
5500465,2.89,0,2,0.396,0
822255,6.063,1,1,0.031,1
6785575,7.128,0,0,0.462,0
2346338,2.729,0,1,0.131,0
6721647,4.233,0,4,0.586,0
1259076,2.131,0,1,0.902,1
7440543,6.856,0,2,0.123,0
7735211,2.304,1,3,0.496,1
6422134,6.099,0,2,0.215,0
3140874,3.65,1,1,0.035,1
4124584,5.884,1,3,0.883,1
8037805,2.366,1,3,0.137,1
3347346,5.856,0,4,0.795,1
6418252,6.691,1,3,0.545,1
8132572,4.064,1,3,0.27,1
438264,3.913,0,0,0.896,0
4714268,2.352,1,4,0.357,1
9798708,7.998,0,0,0.248,0
4046872,3.599,0,1,0.576,0
6517648,4.129,0,1,0.237,0
5336227,6.837,1,4,0.028,1
5901247,7.685,0,4,0.948,1
8259194,5.253,0,3,0.038,0
943342,3.396,0,0,0.526,0
12467,3.99,0,1,0.341,0
2978282,7.513,1,0,0.022,1
9842668,6.228,0,0,0.846,0
6122835,7.763,1,3,0.586,1
5647557,3.811,0,1,0.732,1
7330435,6.751,1,2,0.174,1
9429414,6.161,1,1,0.666,1
2942912,4.27,1,1,0.178,1
31163,7.693,1,4,0.032,1
5339793,7.526,0,4,0.104,1
8325603,2.844,0,1,0.347,0
5361633,3.007,0,2,0.447,0
4450526,3.258,0,2,0.257,0
1813519,6.322,0,3,0.438,0
7041612,7.815,1,3,0.882,1
5893681,5.276,0,3,0.789,1
9699161,5.906,0,1,0.451,0
561573,3.769,1,2,0.952,1
1245876,4.051,1,1,0.732,1
9178913,7.651,0,2,0.594,1
8099979,6.227,1,1,0.607,1
7285673,2.943,0,2,0.206,0
3188406,4.456,1,2,0.297,1
1610202,2.298,1,1,0.055,1
65014,4.566,1,4,0.48,1
1628170,2.154,0,2,0.977,1
7946197,7.063,1,3,0.471,1
4447036,2.547,1,1,0.371,1
6400588,4.216,1,0,0.263,0
7803377,3.58,1,4,0.062,1
1623400,2.514,1,4,0.414,1
9894967,3.365,0,3,0.818,1
7024480,7.794,1,4,0.882,1
7991355,3.793,1,0,0.502,0
8671757,6.803,0,0,0.949,0
7534636,3.037,0,1,0.808,1
2118049,2.256,0,3,0.202,0
2481985,7.005,1,2,0.911,1
1125274,2.522,1,4,0.326,1
4634880,5.118,0,4,0.588,0
7040616,2.675,0,1,0.567,0
9776699,6.55,0,0,0.563,0
1695338,6.714,1,3,0.264,1
8147760,5.432,1,0,0.172,0
6761781,2.863,1,0,0.396,0
5562547,6.143,0,3,0.921,1
6249518,2.121,1,2,0.28,1
8249001,7.149,0,1,0.134,1
7435162,6.644,1,2,0.729,1
1498984,3.128,0,3,0.741,1
8666455,7.203,0,4,0.791,1
1101870,3.867,1,1,0.781,1
8797063,7.276,0,1,0.193,1
3368636,7.022,0,0,0.456,0
6047090,6.228,1,2,0.824,1
8475614,4.382,0,0,0.242,0
8201480,5.564,0,3,0.587,0
5868997,4.065,1,0,0.285,0
6486495,2.298,0,1,0.647,0
3469370,3.615,1,4,0.02,1
150283,4.845,0,1,0.601,0
142997,3.343,1,2,0.424,1
6317209,7.11,1,2,0.218,1
5070153,6.063,1,4,0.102,1
8582776,7.997,1,4,0.647,1
4743531,3.791,0,3,0.064,0
4639619,5.844,1,2,0.656,1
5013883,3.13,0,0,0.805,0
6780646,5.963,0,0,0.655,0
4960422,3.557,1,3,0.388,1
593554,5.498,0,2,0.727,1
3731635,6.118,1,2,0.507,1
2852902,7.044,0,2,0.098,1
2147546,6.446,0,2,0.654,0
3729795,4.132,1,3,0.788,1
5559579,4.23,1,3,0.851,1
7895293,2.322,0,3,0.889,1
8397617,2.719,1,4,0.298,1
908009,7.225,0,1,0.992,1
5750046,4.455,1,1,0.316,1
3026884,6.674,1,2,0.631,1
2967618,3.88,0,0,0.452,0
3513853,6.567,0,4,0.764,1
8214740,6.711,0,1,0.614,0
7205299,4.42,1,3,0.005,1
8956386,3.196,1,0,0.892,1
8910268,3.143,0,1,0.226,0
5778230,3.873,0,3,0.503,0
5136759,3.002,0,2,0.948,1
7650174,6.367,1,3,0.888,1
2245614,4.056,1,2,0.75,1
2767286,7.689,1,0,0.228,1
2202267,3.267,0,4,0.505,0
2067315,4.2,0,3,0.877,1
4292430,6.627,0,4,0.995,1
1814842,5.921,0,0,0.69,0
6993333,4.666,0,4,0.253,0
2570046,3.233,0,2,0.421,0
1695160,5.975,1,4,0.606,1
2302222,4.513,0,4,0.719,1
1976258,3.696,0,3,0.199,0
3352238,6.668,0,2,0.703,1
4956170,2.962,1,1,0.688,1
8065202,3.984,0,0,0.672,0
1853723,7.011,1,1,0.949,1
8585991,2.45,0,2,0.644,0
7664014,7.932,1,2,0.464,1
1675515,6.879,0,2,0.36,0
5247354,4.556,0,0,0.851,0
770891,2.058,0,1,0.329,0
7344630,7.731,1,0,0.373,1
5750933,3.097,1,3,0.962,1
4561602,7.014,1,3,0.649,1
2799082,2.678,0,1,0.104,0
9912145,4.896,1,1,0.611,1
6017291,5.668,0,3,0.92,1
1895776,7.326,1,0,0.063,1
5273037,2.074,0,2,0.519,0
1598897,4.597,0,3,0.346,0
6458158,2.892,0,0,0.643,0
2633804,5.033,1,3,0.869,1
1257030,6.509,1,1,0.331,1
4667702,2.302,0,4,0.643,0
6766865,6.903,0,3,0.444,0
9614930,4.689,1,3,0.316,1
8345540,6.471,0,0,0.403,0
602160,5.343,0,0,0.792,0
5111305,7.341,0,3,0.95,1
6096875,6.952,0,3,0.332,0
7938865,6.3,1,3,0.114,1
3721299,2.013,1,2,0.548,1
6273839,6.213,0,1,0.492,0
6866417,2.642,0,1,0.121,0
6592709,3.294,0,2,0.108,0
6954658,2.279,0,3,0.457,0
9888084,7.737,0,3,0.004,1
815896,5.319,1,4,0.483,1
8529410,6.686,0,4,0.174,0
2154888,2.621,1,4,0.881,1
7025028,7.877,0,2,0.398,1
5753216,7.823,1,1,0.138,1
8595877,3.793,1,4,0.633,1
3371359,3.258,1,2,0.921,1
2226862,7.888,0,4,0.542,1
5409662,6.262,1,4,0.48,1
9574720,7.656,1,4,0.286,1
7087467,6.85,0,0,0.381,0
891282,6.022,0,2,0.75,1
2701047,7.901,1,1,0.839,1
4952637,3.224,0,2,0.814,1
1720329,5.697,0,4,0.389,0
